scope,source_scope_id,scope_records,analysis,source_analysis_id,source_metric_id,measure,selected_n,comparison_selected_n,eligible_n,estimate_percent,heuristic_95_low_percent,heuristic_95_high_percent,direction_rule,direction_retained
Later annotation-sequence probability texts,run70_probability_only,33308,RQ1,B1,distribution_target_position_visible,Distribution target position visible,3000,,3188,94.10,93.23,94.87,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,850,,3188,26.66,25.16,28.22,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,2206,56,3188,67.44,65.69,69.19,Descriptive direction: paired difference above zero,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,1312,,1337,98.13,97.25,98.73,Descriptive direction: proportion above 50%,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,2803,,2810,99.75,99.49,99.88,Descriptive direction: proportion above 50%,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,1244,,1270,97.95,97.02,98.60,Descriptive direction: proportion above 50%,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,2645,,3188,82.97,81.62,84.23,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ4,C5,feminine_objectification,Feminine objectification visible,1182,,2030,58.23,56.07,60.35,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,378,,2030,18.62,16.99,20.37,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,961,,2030,47.34,45.17,49.51,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,961,157,2030,39.61,36.88,42.34,Descriptive direction: paired difference above zero,Yes
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,179,,281,63.70,57.93,69.10,Descriptive direction: proportion above 50%,Yes
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,220,,281,78.29,73.11,82.71,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ1,B1,distribution_target_position_visible,Distribution target position visible,267,,281,95.02,91.81,97.01,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,62,,281,22.06,17.61,27.27,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,207,2,281,72.95,67.57,78.34,Descriptive direction: paired difference above zero,Yes
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,125,,129,96.90,92.30,98.79,Descriptive direction: proportion above 50%,Yes
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,253,,253,100.00,98.50,100.00,Descriptive direction: proportion above 50%,Yes
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,122,,125,97.60,93.18,99.18,Descriptive direction: proportion above 50%,Yes
Frozen-layer probability texts,frozen5000_probability_only,2995,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,213,,281,75.80,70.47,80.44,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ4,C5,feminine_objectification,Feminine objectification visible,85,,179,47.49,40.30,54.78,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,37,,179,20.67,15.38,27.19,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,67,,179,37.43,30.67,44.71,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,67,19,179,26.82,17.43,36.21,Descriptive direction: paired difference above zero,Yes
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,493,,717,68.76,65.27,72.04,Descriptive direction: proportion above 50%,Yes
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,599,,717,83.54,80.65,86.08,No directional rule,Not evaluated
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ1,B1,distribution_target_position_visible,Distribution target position visible,700,,717,97.63,96.24,98.51,No directional rule,Not evaluated
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,141,,717,19.67,16.92,22.73,No directional rule,Not evaluated
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,562,3,717,77.96,74.85,81.07,Descriptive direction: paired difference above zero,Yes
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,300,,307,97.72,95.37,98.89,Descriptive direction: proportion above 50%,Yes
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,677,,680,99.56,98.71,99.85,Descriptive direction: proportion above 50%,Yes
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,295,,302,97.68,95.29,98.87,Descriptive direction: proportion above 50%,Yes
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,559,,717,77.96,74.79,80.84,No directional rule,Not evaluated
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ4,C5,feminine_objectification,Feminine objectification visible,265,,493,53.75,49.34,58.11,No directional rule,Not evaluated
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,74,,493,15.01,12.13,18.43,No directional rule,Not evaluated
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,218,,493,44.22,39.90,48.63,No directional rule,Not evaluated
Frozen-layer mechanism-enriched texts,frozen5000_mechanism_only,1995,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,218,27,493,38.74,33.54,43.95,Descriptive direction: paired difference above zero,Yes
