analysis,source_analysis_id,contrast,a_label,b_label,a_only_n,b_only_n,both_n,neither_n,eligible_n,a_rate_percent,b_rate_percent,paired_difference_pp,paired_normal_95_low_pp,paired_normal_95_high_pp,heuristic_warning
RQ1,B1,Target-position visibility minus actor-position visibility,Target visible,Actor visible,2975,61,992,158,4186,94.77,25.16,69.61,68.13,71.10,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ4,C5,Feminine objectification minus feminine coding in any of four person-position fields,Feminine objectification,Feminine coding in any of four person-position fields,1246,203,286,967,2702,56.70,18.10,38.60,36.25,40.95,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
